Song,Artist,frequency,subnames
Hard,Sophie,3+ a week,sub 0
Bad ideas,Tessa violet,3+ a week,sub 0
Bipp ,Sophie,3+ a week,sub 0
That's Life,Frank Sinatra,Multiple Times a day,sub 2
Baby Blue,Badfinger,Multiple Times a day,sub 2
Across the Universe,The Beatles,Multiple Times a day,sub 2
July 16th ,Giveon,Multiple Times a day,sub 3
Stop ,Justice,Every Day,sub 3
N.Y. State of mind,Nas,Every Day,sub 3
Our Song ,Joe Henry,3+ a week,sub 4
Waltz for Debby ,Cannoball Adderley with Bill Evans,3+ a week,sub 4
Verdandi ,Pepper Adams,once a week,sub 4
The Kids From Yesterday ,My Chemical Romance,Every Day,sub 5
Half, PVRIS,Multiple Times a day,sub 5
Heat Waves ,glass animals ,3+ a week,sub 5
Like my Father ,Jax,Every Day,sub 6
Nancy Mulligan,Ed Sheeran,Every Day,sub 6
Break my heart again,Finneas,Every Day,sub 6
Titi Me Pregunto,Bad Bunny ,Multiple Times a day,sub 8
Its all so incredibly loud ,glass animals ,Every Day,sub 8
Quittin time ,Zach Bryan ,Every Day,sub 8
New Dawn ,Oceans Ate Alaska,Every Day,sub 9
No Interruption,Hoodie Allen,Every Day,sub 9
1-800 -, Logic,3+ a week,sub 9
Dark Charade,Rishloo,3+ a week,sub 10
Satuya,Dvne,3+ a week,sub 10
Of Blade and Carapace, Dvne,3+ a week,sub 10
10k ,K.B.,Every Day,sub 11
Billie Jean,Micheal Jackson,Every Day,sub 11
Puttin on the Ritz ,Taco,3+ a week,sub 11
Diplomats Son,Vampire Weekend,Multiple Times a day,sub 12
My songs know what you did in the dark (light 'em up) ,Fall Out Boy,Multiple Times a day,sub 12
21 Guns ,Green Day,Multiple Times a day,sub 12
Two headed boy pt. 2,neutral milk hotel,Multiple Times a day,sub 13
The place where he inserted the blade ,"black country, new road",Every Day,sub 13
Nervous young inhumans,Car Seat Headrest,Every Day,sub 13
soul enema ,omon ra,once a week,sub 14
Croque Monsieur A Disneyland,Ruby My Dear,3+ a week,sub 14
Josie,Steelie Dan,once a week,sub 14
Blood Sisters (Kontravoid Remix),Fee Lion,once a week,sub 15
Beat and the Pulse,Austra,once a week,sub 15
Restlessness ,Constant Smiles,once a week,sub 15
Second Movement of Mozart's Piano Concerto No 21,Mozart,3+ a week,sub 16
Fourth Movement of Beethoven's Third Symphony,Beethoven,once a week,sub 16
Le Sacre du Printemps,Stravinsky,once a week,sub 16
Don't be so Shy,Imani,3+ a week,sub 17
Matkustaja,Egotrippi,3+ a week,sub 17
"Irgendwie, Irgendwo, Irgendwann ",Nena,3+ a week,sub 17
Comics ,Caravan Palance,Multiple Times a day,sub 18
Rhinestone Eyes,Gorillaz,3+ a week,sub 18
Take a Slice,glass animals ,3+ a week,sub 18
War Zone Urchin,Jazmin Bean,3+ a week,sub 19
Bettie,Violet Chacki,once a week,sub 19
Fair Game,Alice Glass,3+ a week,sub 19
The Sails of Charon,Uli Jon Roth,3+ a week,sub 20
Four Out of Five ,Arctic Monkeys,3+ a week,sub 20
November Rain,Guns N' Roses,3+ a week,sub 20
Tornado of Souls,Megadeatch,3+ a week,sub 21
Hell and You,Amigo the Devil,once a week,sub 21
Dyers Eve,Metallica,Every Day,sub 21
